areacode,areaname,percsmoking
S13002476,Dyce / Bucksburn / Danestone,1.295E1
S13002477,Bridge of Don,7.14E0
S13002478,Kingswells / Sheddocksley,1.621E1
S13002479,Northfield,2.661E1
S13002480,Hilton / Stockethill,1.704E1
S13002481,Tillydrone / Seaton / Old Aberdeen,2.066E1
S13002482,Midstocket / Rosemount,8.58E0
S13002483,George St / Harbour,1.211E1
S13002484,Lower Deeside,7.1E0
S13002485,Hazlehead / Ashley / Queens Cross,3.05E0
S13002486,Airyhall / Broomhill / Garthdee,8.98E0
S13002487,Torry / Ferryhill,1.785E1
S13002488,Kincorth / Loirston,1.502E1
S13002489,Banff and District,2.339E1
S13002490,Troup,2.331E1
S13002491,Fraserburgh and District,2.206E1
S13002492,Central Buchan,1.353E1
S13002493,Peterhead North and Rattray,2.688E1
S13002494,Peterhead South and Cruden,22
S13002495,Turriff and District,1.495E1
S13002496,Mid Formartine,7.13E0
S13002497,Ellon and District,1.043E1
S13002498,West Garioch,1.316E1
S13002499,Inverurie and District,1.192E1
S13002500,East Garioch,3.93E0
S13002501,Westhill and District,4.64E0
S13002502,"Huntly, Strathbogie and Howe of Alford",1.294E1
S13002503,"Aboyne, Upper Deeside and Donside",1.171E1
S13002504,Banchory and Mid Deeside,6.69E0
S13002505,North Kincardine,4.78E0
S13002506,Stonehaven and Lower Deeside,4.93E0
S13002507,Mearns,1.109E1
S13002508,Kirriemuir and Dean,1.953E1
S13002509,Brechin and Edzell,2.006E1
S13002510,Forfar and District,2.925E1
S13002512,Carnoustie and District,1.21E1
S13002513,Arbroath West and Letham,1.691E1
S13002514,Arbroath East and Lunan,2.895E1
S13002515,Montrose and District,2.332E1
S13002516,South Kintyre,2.061E1
S13002517,Kintyre and the Islands,1.667E1
S13002518,Mid Argyll ,1.479E1
S13002519,Oban South and the Isles,1.621E1
S13002520,Oban North and Lorn,1.365E1
S13002521,Cowal,1.301E1
S13002522,Dunoon,2.576E1
S13002523,Isle of Bute,1.495E1
S13002524,Lomond North,2.194E1
S13002525,Helensburgh Central,20
S13002526,Helensburgh and Lomond South,1.018E1
S13002527,Clackmannanshire West,1.945E1
S13002528,Clackmannanshire North,2.226E1
S13002529,Clackmannanshire Central,2.399E1
S13002530,Clackmannanshire South,2.164E1
S13002531,Clackmannanshire East,2.054E1
S13002532,Stranraer and North Rhins,3.007E1
S13002533,Wigtown West,2.304E1
S13002534,Mid Galloway,2.569E1
S13002535,Dee,1.269E1
S13002536,Castle Douglas and Glenkens,1.631E1
S13002537,Abbey,1.674E1
S13002538,North West Dumfries,2.652E1
S13002539,Mid and Upper Nithsdale,3.168E1
S13002540,Lochar,1.308E1
S13002541,Nith,2.006E1
S13002542,Annandale South,2.587E1
S13002543,Annandale North,1.824E1
S13002544,Annandale East and Eskdale,1.875E1
S13002545,Strathmartine,2.896E1
S13002546,Lochee,2.974E1
S13002547,West End,1.381E1
S13002548,Coldside,2.704E1
S13002549,Maryfield,1.997E1
S13002551,East End,3.514E1
S13002552,The Ferry,6.92E0
S13002553,Annick,1.447E1
S13002554,Kilmarnock North,2.035E1
S13002555,Kilmarnock West and Crosshouse,1.634E1
S13002556,Kilmarnock East and Hurlford,2.471E1
S13002557,Kilmarnock South,3.145E1
S13002558,Irvine Valley,2.351E1
S13002559,Ballochmyle,3.002E1
S13002560,Cumnock and New Cumnock,2.84E1
S13002561,Doon Valley,3.103E1
S13002562,Milngavie,7.67E0
S13002563,Bearsden North,6.82E0
S13002564,Bearsden South,6.71E0
S13002565,Campsie and Kirkintilloch North,1.22E1
S13002566,Bishopbriggs North and Torrance,7.72E0
S13002568,Lenzie and Kirkintilloch South,7.9E0
S13002569,Kirkintilloch East and Twechar,1.922E1
S13002570,Musselburgh West,1.424E1
S13002571,Musselburgh East and Carberry,2.459E1
S13002572,Preston / Seton / Gosford,2.08E1
S13002573,Fa'side,2.014E1
S13002574,North Berwick Coastal,7.92E0
S13002575,Haddington and Lammermuir,1.635E1
S13002576,Dunbar and East Linton,1.338E1
S13002577,"Neilston, Uplawmoor and Newton Mearns North",8.58E0
S13002578,Barrhead,2.363E1
S13002579,Giffnock and Thornliebank,6.35E0
S13002580,"Netherlee, Stamperland and Williamwood",5.11E0
S13002581,Newton Mearns South,3.74E0
S13002582,"Busby, Clarkston and Eaglesham",7.1E0
S13002583,Almond,9.32E0
S13002584,Pentland Hills,1.431E1
S13002585,Drum Brae / Gyle,9.67E0
S13002586,Forth,2.142E1
S13002587,Inverleith,6.44E0
S13002588,Corstorphine / Murrayfield,6.33E0
S13002589,Sighthill / Gorgie,2.139E1
S13002590,Colinton / Fairmilehead,1.288E1
S13002591,Fountainbridge / Craiglockhart,4.12E0
S13002592,Meadows / Morningside,1.49E0
S13002593,City Centre,5.43E0
S13002594,Leith Walk,7.01E0
S13002595,Leith  ,1.09E1
S13002596,Craigentinny / Duddingston,1.095E1
S13002597,Southside / Newington,5.93E0
S13002598,Liberton / Gilmerton,1.97E1
S13002599,Portobello / Craigmillar,1.791E1
S13002600,"Barraigh, Bhatarsaigh, Eirisgeigh agus Uibhist a Deas",1.148E1
S13002601,Beinn na Foghla agus Uibhist a Tuath,1.343E1
S13002602,Na Hearadh agus Ceann a Deas nan Loch,7.5E0
S13002603,Sgir'Uige agus Ceann a Tuath nan Loch,8.33E0
S13002604,Sgire an Rubha,1.522E1
S13002605,Steòrnabhagh a Deas,20
S13002606,Steòrnabhagh a Tuath,1.429E1
S13002607,Loch a Tuath,8.75E0
S13002608,An Taobh Siar agus Nis,3.57E0
S13002609,Bo'ness and Blackness,1.127E1
S13002610,Grangemouth,2.697E1
S13002611,Denny and Banknock,1.393E1
S13002612,"Carse, Kinnaird and Tryst",1.395E1
S13002613,Bonnybridge and Larbert,1.235E1
S13002614,Falkirk North,1.903E1
S13002615,Falkirk South,1.767E1
S13002616,Lower Braes,9.05E0
S13002617,Upper Braes,1.268E1
S13002618,West Fife and Coastal Villages,1.792E1
S13002619,Dunfermline North,2.204E1
S13002620,Dunfermline Central,1.625E1
S13002621,Dunfermline South,1.359E1
S13002622,Rosyth,2.195E1
S13002623,Inverkeithing and Dalgety Bay,1.416E1
S13002624,The Lochs,3.208E1
S13002625,Cowdenbeath,2.671E1
S13002626,Lochgelly and Cardenden,2.731E1
S13002627,"Burntisland, Kinghorn and Western Kirkcaldy",1.818E1
S13002628,Kirkcaldy North,2.04E1
S13002629,Kirkcaldy Central,3.122E1
S13002630,Kirkcaldy East,2.802E1
S13002631,Glenrothes West and Kinglassie,2.648E1
S13002632,"Glenrothes North, Leslie and Markinch",2.454E1
S13002633,Glenrothes Central and Thornton,2.489E1
S13002634,Howe of Fife and Tay Coast,1.444E1
S13002635,Tay Bridgehead,9.9E0
S13002636,St Andrews,1.009E1
S13002637,East Neuk and Landward,1.65E1
S13002638,Cupar,1.771E1
S13002639,"Leven, Kennoway and Largo",2.312E1
S13002640,"Buckhaven, Methil and Wemyss Villages",3.75E1
S13002641,Linn,2.051E1
S13002642,Newlands / Auldburn,1.784E1
S13002643,Greater Pollok,2.251E1
S13002644,Craigton,2.347E1
S13002645,Govan,2.151E1
S13002646,Pollokshields,6.46E0
S13002647,Langside,9.99E0
S13002648,Southside Central,1.432E1
S13002649,Calton,2.135E1
S13002650,Anderston / City,8.78E0
S13002651,Hillhead,6.53E0
S13002652,Partick West,8.76E0
S13002653,Garscadden / Scotstounhill,1.958E1
S13002654,Drumchapel / Anniesland,2.57E1
S13002655,Maryhill / Kelvin,1.641E1
S13002656,Canal,1.976E1
